action_id,pattern,region,concurrency,access_pattern,block_size,duration_s,memory_mb,copy_threads,cpu_threads,warm_copy,max_errors,stress_score
0,walking_1_0,0,low,sequential,page_4KB,30,256,4,0,False,-1,0.88825
1,walking_1_0,0,low,sequential,page_4KB,60,1024,4,0,False,-1,1.254
2,walking_1_0,0,low,sequential,page_4KB,120,1024,4,0,False,-1,1.5675000000000001
3,walking_1_0,0,low,sequential,page_4KB,300,1024,4,0,False,-1,2.09
4,walking_1_0,0,low,random,page_4KB,30,256,4,0,True,10,1.2342000000000002
5,walking_1_0,0,low,random,page_4KB,60,1024,4,0,True,10,1.7424000000000002
6,walking_1_0,0,low,random,page_4KB,120,1024,4,0,True,10,2.178
7,walking_1_0,0,low,random,page_4KB,300,1024,4,0,True,10,2.9040000000000004
8,walking_1_0,0,low,rowhammer_like,page_4KB,30,256,4,0,True,1,1.8101600000000007
9,walking_1_0,0,low,rowhammer_like,page_4KB,60,1024,4,0,True,1,2.5555200000000005
10,walking_1_0,0,low,rowhammer_like,page_4KB,120,1024,4,0,True,1,3.1944000000000012
11,walking_1_0,0,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,4.259200000000001
12,walking_1_0,0,medium,sequential,page_4KB,30,1024,8,4,True,-1,2.124276
13,walking_1_0,0,medium,sequential,page_4KB,60,1024,8,4,True,-1,2.5491311999999997
14,walking_1_0,0,medium,sequential,page_4KB,120,4096,8,4,True,-1,3.8236967999999996
15,walking_1_0,0,medium,sequential,page_4KB,300,4096,8,4,True,-1,5.098262399999999
16,walking_1_0,0,medium,random,page_4KB,30,1024,8,4,True,10,2.683296
17,walking_1_0,0,medium,random,page_4KB,60,1024,8,4,True,10,3.2199552
18,walking_1_0,0,medium,random,page_4KB,120,4096,8,4,True,10,4.8299328
19,walking_1_0,0,medium,random,page_4KB,300,4096,8,4,True,10,6.4399104
20,walking_1_0,0,medium,rowhammer_like,page_4KB,30,1024,8,4,True,1,3.935500800000001
21,walking_1_0,0,medium,rowhammer_like,page_4KB,60,1024,8,4,True,1,4.722600960000001
22,walking_1_0,0,medium,rowhammer_like,page_4KB,120,4096,8,4,True,1,7.083901440000002
23,walking_1_0,0,medium,rowhammer_like,page_4KB,300,4096,8,4,True,1,9.445201920000002
24,walking_1_0,0,high,sequential,page_4KB,30,4096,16,8,True,-1,4.586505
25,walking_1_0,0,high,sequential,page_4KB,60,4096,16,8,True,-1,5.503805999999999
26,walking_1_0,0,high,sequential,page_4KB,120,4096,16,8,True,-1,6.879757499999999
27,walking_1_0,0,high,sequential,page_4KB,300,0,16,8,True,-1,10.701844999999999
28,walking_1_0,0,high,random,page_4KB,30,4096,16,8,True,10,5.793479999999999
29,walking_1_0,0,high,random,page_4KB,60,4096,16,8,True,10,6.952175999999998
30,walking_1_0,0,high,random,page_4KB,120,4096,16,8,True,10,8.690219999999998
31,walking_1_0,0,high,random,page_4KB,300,0,16,8,True,10,13.518119999999996
32,walking_1_0,0,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,8.497104
33,walking_1_0,0,high,rowhammer_like,page_4KB,60,4096,16,8,True,1,10.196524799999999
34,walking_1_0,0,high,rowhammer_like,page_4KB,120,4096,16,8,True,1,12.745656
35,walking_1_0,0,high,rowhammer_like,page_4KB,300,0,16,8,True,1,19.826576
36,walking_1_0,1,low,sequential,page_4KB,30,256,4,0,False,-1,0.88825
37,walking_1_0,1,low,sequential,page_4KB,60,1024,4,0,False,-1,1.254
38,walking_1_0,1,low,sequential,page_4KB,120,1024,4,0,False,-1,1.5675000000000001
39,walking_1_0,1,low,sequential,page_4KB,300,1024,4,0,False,-1,2.09
40,walking_1_0,1,low,random,page_4KB,30,256,4,0,True,10,1.2342000000000002
41,walking_1_0,1,low,random,page_4KB,60,1024,4,0,True,10,1.7424000000000002
42,walking_1_0,1,low,random,page_4KB,120,1024,4,0,True,10,2.178
43,walking_1_0,1,low,random,page_4KB,300,1024,4,0,True,10,2.9040000000000004
44,walking_1_0,1,low,rowhammer_like,page_4KB,30,256,4,0,True,1,1.8101600000000007
45,walking_1_0,1,low,rowhammer_like,page_4KB,60,1024,4,0,True,1,2.5555200000000005
46,walking_1_0,1,low,rowhammer_like,page_4KB,120,1024,4,0,True,1,3.1944000000000012
47,walking_1_0,1,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,4.259200000000001
48,walking_1_0,1,medium,sequential,page_4KB,30,1024,8,4,True,-1,2.124276
49,walking_1_0,1,medium,sequential,page_4KB,60,1024,8,4,True,-1,2.5491311999999997
50,walking_1_0,1,medium,sequential,page_4KB,120,4096,8,4,True,-1,3.8236967999999996
51,walking_1_0,1,medium,sequential,page_4KB,300,4096,8,4,True,-1,5.098262399999999
52,walking_1_0,1,medium,random,page_4KB,30,1024,8,4,True,10,2.683296
53,walking_1_0,1,medium,random,page_4KB,60,1024,8,4,True,10,3.2199552
54,walking_1_0,1,medium,random,page_4KB,120,4096,8,4,True,10,4.8299328
55,walking_1_0,1,medium,random,page_4KB,300,4096,8,4,True,10,6.4399104
56,walking_1_0,1,medium,rowhammer_like,page_4KB,30,1024,8,4,True,1,3.935500800000001
57,walking_1_0,1,medium,rowhammer_like,page_4KB,60,1024,8,4,True,1,4.722600960000001
58,walking_1_0,1,medium,rowhammer_like,page_4KB,120,4096,8,4,True,1,7.083901440000002
59,walking_1_0,1,medium,rowhammer_like,page_4KB,300,4096,8,4,True,1,9.445201920000002
60,walking_1_0,1,high,sequential,page_4KB,30,4096,16,8,True,-1,4.586505
61,walking_1_0,1,high,sequential,page_4KB,60,4096,16,8,True,-1,5.503805999999999
62,walking_1_0,1,high,sequential,page_4KB,120,4096,16,8,True,-1,6.879757499999999
63,walking_1_0,1,high,sequential,page_4KB,300,0,16,8,True,-1,10.701844999999999
64,walking_1_0,1,high,random,page_4KB,30,4096,16,8,True,10,5.793479999999999
65,walking_1_0,1,high,random,page_4KB,60,4096,16,8,True,10,6.952175999999998
66,walking_1_0,1,high,random,page_4KB,120,4096,16,8,True,10,8.690219999999998
67,walking_1_0,1,high,random,page_4KB,300,0,16,8,True,10,13.518119999999996
68,walking_1_0,1,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,8.497104
69,walking_1_0,1,high,rowhammer_like,page_4KB,60,4096,16,8,True,1,10.196524799999999
70,walking_1_0,1,high,rowhammer_like,page_4KB,120,4096,16,8,True,1,12.745656
71,walking_1_0,1,high,rowhammer_like,page_4KB,300,0,16,8,True,1,19.826576
72,walking_1_0,2,low,sequential,page_4KB,30,256,4,0,False,-1,0.88825
73,walking_1_0,2,low,sequential,page_4KB,60,1024,4,0,False,-1,1.254
74,walking_1_0,2,low,sequential,page_4KB,120,1024,4,0,False,-1,1.5675000000000001
75,walking_1_0,2,low,sequential,page_4KB,300,1024,4,0,False,-1,2.09
76,walking_1_0,2,low,random,page_4KB,30,256,4,0,True,10,1.2342000000000002
77,walking_1_0,2,low,random,page_4KB,60,1024,4,0,True,10,1.7424000000000002
78,walking_1_0,2,low,random,page_4KB,120,1024,4,0,True,10,2.178
79,walking_1_0,2,low,random,page_4KB,300,1024,4,0,True,10,2.9040000000000004
80,walking_1_0,2,low,rowhammer_like,page_4KB,30,256,4,0,True,1,1.8101600000000007
81,walking_1_0,2,low,rowhammer_like,page_4KB,60,1024,4,0,True,1,2.5555200000000005
82,walking_1_0,2,low,rowhammer_like,page_4KB,120,1024,4,0,True,1,3.1944000000000012
83,walking_1_0,2,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,4.259200000000001
84,walking_1_0,2,medium,sequential,page_4KB,30,1024,8,4,True,-1,2.124276
85,walking_1_0,2,medium,sequential,page_4KB,60,1024,8,4,True,-1,2.5491311999999997
86,walking_1_0,2,medium,sequential,page_4KB,120,4096,8,4,True,-1,3.8236967999999996
87,walking_1_0,2,medium,sequential,page_4KB,300,4096,8,4,True,-1,5.098262399999999
88,walking_1_0,2,medium,random,page_4KB,30,1024,8,4,True,10,2.683296
89,walking_1_0,2,medium,random,page_4KB,60,1024,8,4,True,10,3.2199552
90,walking_1_0,2,medium,random,page_4KB,120,4096,8,4,True,10,4.8299328
91,walking_1_0,2,medium,random,page_4KB,300,4096,8,4,True,10,6.4399104
92,walking_1_0,2,medium,rowhammer_like,page_4KB,30,1024,8,4,True,1,3.935500800000001
93,walking_1_0,2,medium,rowhammer_like,page_4KB,60,1024,8,4,True,1,4.722600960000001
94,walking_1_0,2,medium,rowhammer_like,page_4KB,120,4096,8,4,True,1,7.083901440000002
95,walking_1_0,2,medium,rowhammer_like,page_4KB,300,4096,8,4,True,1,9.445201920000002
96,walking_1_0,2,high,sequential,page_4KB,30,4096,16,8,True,-1,4.586505
97,walking_1_0,2,high,sequential,page_4KB,60,4096,16,8,True,-1,5.503805999999999
98,walking_1_0,2,high,sequential,page_4KB,120,4096,16,8,True,-1,6.879757499999999
99,walking_1_0,2,high,sequential,page_4KB,300,0,16,8,True,-1,10.701844999999999
100,walking_1_0,2,high,random,page_4KB,30,4096,16,8,True,10,5.793479999999999
101,walking_1_0,2,high,random,page_4KB,60,4096,16,8,True,10,6.952175999999998
102,walking_1_0,2,high,random,page_4KB,120,4096,16,8,True,10,8.690219999999998
103,walking_1_0,2,high,random,page_4KB,300,0,16,8,True,10,13.518119999999996
104,walking_1_0,2,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,8.497104
105,walking_1_0,2,high,rowhammer_like,page_4KB,60,4096,16,8,True,1,10.196524799999999
106,walking_1_0,2,high,rowhammer_like,page_4KB,120,4096,16,8,True,1,12.745656
107,walking_1_0,2,high,rowhammer_like,page_4KB,300,0,16,8,True,1,19.826576
108,walking_1_0,3,low,sequential,page_4KB,30,256,4,0,False,-1,0.88825
109,walking_1_0,3,low,sequential,page_4KB,60,1024,4,0,False,-1,1.254
110,walking_1_0,3,low,sequential,page_4KB,120,1024,4,0,False,-1,1.5675000000000001
111,walking_1_0,3,low,sequential,page_4KB,300,1024,4,0,False,-1,2.09
112,walking_1_0,3,low,random,page_4KB,30,256,4,0,True,10,1.2342000000000002
113,walking_1_0,3,low,random,page_4KB,60,1024,4,0,True,10,1.7424000000000002
114,walking_1_0,3,low,random,page_4KB,120,1024,4,0,True,10,2.178
115,walking_1_0,3,low,random,page_4KB,300,1024,4,0,True,10,2.9040000000000004
116,walking_1_0,3,low,rowhammer_like,page_4KB,30,256,4,0,True,1,1.8101600000000007
117,walking_1_0,3,low,rowhammer_like,page_4KB,60,1024,4,0,True,1,2.5555200000000005
118,walking_1_0,3,low,rowhammer_like,page_4KB,120,1024,4,0,True,1,3.1944000000000012
119,walking_1_0,3,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,4.259200000000001
120,walking_1_0,3,medium,sequential,page_4KB,30,1024,8,4,True,-1,2.124276
121,walking_1_0,3,medium,sequential,page_4KB,60,1024,8,4,True,-1,2.5491311999999997
122,walking_1_0,3,medium,sequential,page_4KB,120,4096,8,4,True,-1,3.8236967999999996
123,walking_1_0,3,medium,sequential,page_4KB,300,4096,8,4,True,-1,5.098262399999999
124,walking_1_0,3,medium,random,page_4KB,30,1024,8,4,True,10,2.683296
125,walking_1_0,3,medium,random,page_4KB,60,1024,8,4,True,10,3.2199552
126,walking_1_0,3,medium,random,page_4KB,120,4096,8,4,True,10,4.8299328
127,walking_1_0,3,medium,random,page_4KB,300,4096,8,4,True,10,6.4399104
128,walking_1_0,3,medium,rowhammer_like,page_4KB,30,1024,8,4,True,1,3.935500800000001
129,walking_1_0,3,medium,rowhammer_like,page_4KB,60,1024,8,4,True,1,4.722600960000001
130,walking_1_0,3,medium,rowhammer_like,page_4KB,120,4096,8,4,True,1,7.083901440000002
131,walking_1_0,3,medium,rowhammer_like,page_4KB,300,4096,8,4,True,1,9.445201920000002
132,walking_1_0,3,high,sequential,page_4KB,30,4096,16,8,True,-1,4.586505
133,walking_1_0,3,high,sequential,page_4KB,60,4096,16,8,True,-1,5.503805999999999
134,walking_1_0,3,high,sequential,page_4KB,120,4096,16,8,True,-1,6.879757499999999
135,walking_1_0,3,high,sequential,page_4KB,300,0,16,8,True,-1,10.701844999999999
136,walking_1_0,3,high,random,page_4KB,30,4096,16,8,True,10,5.793479999999999
137,walking_1_0,3,high,random,page_4KB,60,4096,16,8,True,10,6.952175999999998
138,walking_1_0,3,high,random,page_4KB,120,4096,16,8,True,10,8.690219999999998
139,walking_1_0,3,high,random,page_4KB,300,0,16,8,True,10,13.518119999999996
140,walking_1_0,3,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,8.497104
141,walking_1_0,3,high,rowhammer_like,page_4KB,60,4096,16,8,True,1,10.196524799999999
142,walking_1_0,3,high,rowhammer_like,page_4KB,120,4096,16,8,True,1,12.745656
143,walking_1_0,3,high,rowhammer_like,page_4KB,300,0,16,8,True,1,19.826576
144,walking_1_0,4,low,sequential,page_4KB,30,256,4,0,False,-1,0.88825
145,walking_1_0,4,low,sequential,page_4KB,60,1024,4,0,False,-1,1.254
146,walking_1_0,4,low,sequential,page_4KB,120,1024,4,0,False,-1,1.5675000000000001
147,walking_1_0,4,low,sequential,page_4KB,300,1024,4,0,False,-1,2.09
148,walking_1_0,4,low,random,page_4KB,30,256,4,0,True,10,1.2342000000000002
149,walking_1_0,4,low,random,page_4KB,60,1024,4,0,True,10,1.7424000000000002
150,walking_1_0,4,low,random,page_4KB,120,1024,4,0,True,10,2.178
151,walking_1_0,4,low,random,page_4KB,300,1024,4,0,True,10,2.9040000000000004
152,walking_1_0,4,low,rowhammer_like,page_4KB,30,256,4,0,True,1,1.8101600000000007
153,walking_1_0,4,low,rowhammer_like,page_4KB,60,1024,4,0,True,1,2.5555200000000005
154,walking_1_0,4,low,rowhammer_like,page_4KB,120,1024,4,0,True,1,3.1944000000000012
155,walking_1_0,4,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,4.259200000000001
156,walking_1_0,4,medium,sequential,page_4KB,30,1024,8,4,True,-1,2.124276
157,walking_1_0,4,medium,sequential,page_4KB,60,1024,8,4,True,-1,2.5491311999999997
158,walking_1_0,4,medium,sequential,page_4KB,120,4096,8,4,True,-1,3.8236967999999996
