#{"t_start": 1775382976.772105, "env_id": "None"}
r,l,t
29.04,64,0.827824
27.83,64,0.879985
104.92,10,0.888121
30.86,64,0.940705
33.34,64,0.988753
31.05,64,1.059396
108.58,15,1.071502
31.11,64,1.123812
29.92,64,1.172077
139.78,61,1.225336
120.54,48,1.264233
30.53,64,1.314984
117.77,38,1.344904
121.78,51,1.385232
115.55,30,1.407972
31.27,64,1.45735
24.62,64,1.506871
105.27,7,1.514688
38.29,64,1.5662
119.57,39,1.596087
121.79,47,1.63046
29.74,64,1.679005
35.34,64,1.727609
30.66,64,1.778427
27.22,64,1.828616
26.15,64,1.876804
30.23,64,1.927881
126.54,58,1.971977
31.17,64,2.02183
29.79,64,2.068612
117.09,41,2.098623
34.78,64,2.147657
122.7,43,2.182193
30.36,64,2.233728
28.44,64,2.283487
120.64,37,2.313136
30.87,64,2.362153
26.23,64,3.801019
29.77,64,3.850388
35.37,64,3.901617
118.32,36,3.932587
28.88,64,3.982188
111.47,32,4.010277
29.6,64,4.06494
26.73,64,4.116432
29.77,64,4.165959
37.16,64,4.222015
27.17,64,4.270169
119.34,41,4.302732
24.99,64,4.353212
126.03,48,4.390153
27.82,64,4.439355
112.14,26,4.458606
24.56,64,4.50679
111.5,23,4.527262
109.57,33,4.553185
22.08,64,4.602755
26.17,64,4.653991
25.25,64,4.704126
25.51,64,4.751103
125.99,64,4.80058
25.26,64,4.848495
22.5,64,4.896236
117.64,40,4.926573
122.23,55,4.967908
29.31,64,5.015778
26.53,64,5.071094
27.98,64,5.122895
23.91,64,5.173602
26.91,64,5.223874
24.67,64,5.272954
24.46,64,5.322835
24.68,64,5.373707
119.37,54,6.775795
104.75,18,6.790258
24.46,64,6.840347
28.97,64,6.890423
112.38,23,6.909315
122.87,48,6.947912
114.19,35,6.97548
23.27,64,7.024152
121.72,63,7.072976
28.18,64,7.121325
109.38,19,7.135309
121.17,47,7.171839
24.64,64,7.225015
27.8,64,7.273254
106.54,22,7.289465
29.64,64,7.338465
25.31,64,7.388709
29.5,64,7.437485
122.64,64,7.486835
110.09,41,7.517833
107.22,31,7.542035
105.25,14,7.55269
29.02,64,7.600285
22.85,64,7.648572
