agent,episode,episode_reward,steps_to_first_ce,steps_to_first_ue,sim_seconds_to_first_ce,sim_seconds_to_first_ue,max_ce_step,total_ce,total_ue,ue_found,coverage,unique_actions,mean_entropy,simulated_seconds
ppo,0,102.52,65,6,480.0,480.0,0,0,1,1,0,6,7.290663321812947,480.0
ppo,1,106.37,1,16,30.0,3630.0,1,5,1,1,5,9,7.295958310365677,3630.0
ppo,2,115.44,12,47,1560.0,12060.0,3,22,1,1,2,11,7.279357453610035,12060.0
ppo,3,105.64,14,18,2160.0,3360.0,2,5,1,1,1,11,7.294228023952908,3360.0
ppo,4,106.29,12,25,1560.0,5460.0,2,9,1,1,3,11,7.288198642730713,5460.0
ppo,5,102.57000000000001,7,20,780.0,4680.0,1,5,1,1,2,9,7.270799779891968,4680.0
ppo,6,102.79,14,20,2160.0,3960.0,1,4,1,1,1,11,7.289380359649658,3960.0
ppo,7,103.69,11,17,1260.0,3060.0,2,4,1,1,2,11,7.299721717834473,3060.0
ppo,8,103.39,14,28,2160.0,6360.0,2,7,1,1,1,11,7.28139671257564,6360.0
ppo,9,107.39,21,48,4260.0,12360.0,2,17,1,1,1,11,7.273743132750194,12360.0
ppo,10,103.87,7,9,780.0,1380.0,2,3,1,1,2,9,7.289641009436713,1380.0
ppo,11,101.02,1,18,30.0,4230.0,1,3,1,1,2,9,7.281537320878771,4230.0
ppo,12,108.89,14,23,2160.0,4860.0,3,11,1,1,1,11,7.2874304107997725,4860.0
ppo,13,111.19,13,42,1860.0,10560.0,2,19,1,1,2,11,7.280028967630296,10560.0
ppo,14,101.64,11,13,1260.0,1860.0,1,1,1,1,1,10,7.314317996685322,1860.0
ppo,15,104.22,3,14,270.0,3030.0,2,5,1,1,2,9,7.288905416216169,3030.0
ppo,16,101.47,6,17,480.0,3780.0,1,3,1,1,2,9,7.271548523622401,3780.0
ppo,17,99.59,10,44,960.0,11160.0,1,8,1,1,3,11,7.2763040174137465,11160.0
ppo,18,107.61999999999999,8,44,900.0,5130.0,1,10,1,1,2,8,7.358778064901179,5130.0
ppo,19,98.62,2,26,150.0,6630.0,1,3,1,1,2,9,7.273699228580181,6630.0
ppo,20,117.91,8,27,900.0,3090.0,3,19,1,1,2,8,7.348445468478733,3090.0
ppo,21,102.09,17,29,3060.0,6660.0,2,6,1,1,1,11,7.279591659019733,6660.0
ppo,22,112.47,6,27,480.0,6780.0,2,17,1,1,3,9,7.275912373154251,6780.0
ppo,23,105.09,13,19,1860.0,3660.0,2,6,1,1,2,11,7.294031318865325,3660.0
ppo,24,104.91,8,27,900.0,3090.0,3,6,1,1,2,8,7.3497767801638005,3090.0
ppo,25,109.52,2,13,150.0,2730.0,2,10,1,1,5,9,7.306213782383845,2730.0
ppo,26,103.42,2,20,150.0,4830.0,2,6,1,1,3,9,7.285904312133789,4830.0
ppo,27,103.12,3,11,270.0,2130.0,1,3,1,1,2,9,7.300388639623469,2130.0
ppo,28,102.87,5,9,420.0,1380.0,1,2,1,1,2,9,7.297328101264106,1380.0
ppo,29,107.29,14,15,2160.0,2460.0,5,7,1,1,1,11,7.30243117014567,2460.0
ppo,30,105.52000000000001,1,13,30.0,2730.0,2,6,1,1,3,9,7.29634585747352,2730.0
ppo,31,98.62,2,26,150.0,6630.0,2,3,1,1,2,9,7.271237758489756,6630.0
ppo,32,101.57000000000001,6,20,480.0,4680.0,1,4,1,1,2,9,7.269902563095092,4680.0
ppo,33,104.02000000000001,3,18,270.0,4230.0,1,6,1,1,2,9,7.283753898408678,4230.0
ppo,34,108.52000000000001,3,13,270.0,2730.0,2,9,1,1,3,9,7.297093538137583,2730.0
ppo,35,102.27,7,21,780.0,4980.0,1,5,1,1,2,9,7.269642171405611,4980.0
ppo,36,107.37,4,14,300.0,2880.0,2,8,1,1,3,9,7.2818620545523505,2880.0
ppo,37,102.69,13,17,1860.0,3060.0,2,3,1,1,2,11,7.296783587511848,3060.0
ppo,38,102.22,3,14,270.0,3030.0,1,3,1,1,2,9,7.28629606110709,3030.0
ppo,39,110.29,13,35,1860.0,8460.0,3,16,1,1,2,11,7.283329214368548,8460.0
ppo,40,103.77000000000001,2,8,150.0,1230.0,2,3,1,1,2,8,7.326797246932983,1230.0
ppo,41,102.27,8,24,900.0,2730.0,1,3,1,1,2,8,7.345603108406067,2730.0
ppo,42,105.72,3,49,270.0,13530.0,2,17,1,1,2,9,7.27236220301414,13530.0
ppo,43,103.99000000000001,17,26,3060.0,5760.0,2,7,1,1,1,11,7.282201510209304,5760.0
ppo,44,103.19,12,22,1560.0,4560.0,2,5,1,1,3,11,7.292499260468916,4560.0
ppo,45,107.77000000000001,7,36,780.0,9480.0,2,15,1,1,2,9,7.271223955684238,9480.0
ppo,46,107.02000000000001,3,18,270.0,4230.0,2,9,1,1,2,9,7.286938534842597,4230.0
ppo,47,109.49000000000001,12,21,1560.0,4260.0,3,11,1,1,3,11,7.295930272056943,4260.0
ppo,48,102.27000000000001,7,11,780.0,1980.0,1,2,1,1,2,9,7.2813943949612705,1980.0
ppo,49,102.52000000000001,1,13,30.0,2730.0,1,3,1,1,2,9,7.295590143937331,2730.0
ppo,50,105.99000000000001,12,16,1560.0,2760.0,2,6,1,1,2,11,7.300495624542236,2760.0
ppo,51,102.72,1,19,30.0,4530.0,1,5,1,1,2,9,7.2813619814421005,4530.0
ppo,52,104.89,13,33,1860.0,7860.0,2,10,1,1,2,11,7.2838890480272696,7860.0
ppo,53,108.49000000000001,11,21,1260.0,4260.0,3,10,1,1,2,11,7.294580187116351,4260.0
ppo,54,100.35,65,2,150.0,150.0,0,0,1,1,0,2,7.297681093215942,150.0
ppo,55,100.32000000000001,3,17,270.0,3930.0,1,2,1,1,2,9,7.281362028682933,3930.0
ppo,56,108.87,6,29,480.0,7380.0,2,14,1,1,2,9,7.269254174725763,7380.0
ppo,57,106.17,6,28,480.0,7080.0,2,11,1,1,3,9,7.270511780466352,7080.0
ppo,58,100.47000000000001,4,37,300.0,9780.0,3,8,1,1,4,9,7.27518165433729,9780.0
ppo,59,106.49000000000001,15,21,2460.0,4260.0,3,8,1,1,1,11,7.289531934828985,4260.0
ppo,60,101.99,8,43,900.0,5010.0,1,5,1,1,2,8,7.360131618588469,5010.0
ppo,61,99.99000000000001,65,16,2760.0,2760.0,0,0,1,1,0,11,7.297093480825424,2760.0
ppo,62,113.82,3,42,270.0,11430.0,3,23,1,1,2,9,7.277130762736003,11430.0
ppo,63,102.79,13,30,1860.0,6960.0,1,7,1,1,2,11,7.282614612579346,6960.0
ppo,64,112.22,3,34,270.0,9030.0,2,19,1,1,3,9,7.281232539345236,9030.0
ppo,65,110.89,14,33,2160.0,7860.0,3,16,1,1,1,11,7.280324386827873,7860.0
ppo,66,103.59,17,44,3060.0,11160.0,2,12,1,1,1,11,7.275196400555697,11160.0
ppo,67,101.37,6,34,480.0,8880.0,1,8,1,1,3,9,7.2699402640847595,8880.0
ppo,68,101.99000000000001,9,26,930.0,5760.0,1,5,1,1,2,11,7.283522734275231,5760.0
ppo,69,100.85,65,8,900.0,900.0,0,0,1,1,0,7,7.295225620269775,900.0
ppo,70,101.69,9,12,930.0,1560.0,1,1,1,1,1,9,7.3099528551101685,1560.0
ppo,71,100.97,65,7,780.0,780.0,0,0,1,1,0,7,7.290313516344343,780.0
ppo,72,106.17,7,18,780.0,4080.0,3,8,1,1,2,9,7.273668501112196,4080.0
ppo,73,103.72,3,9,270.0,1530.0,2,3,1,1,1,9,7.314083258310954,1530.0
ppo,74,107.92,2,15,150.0,3330.0,3,9,1,1,3,9,7.290531190236409,3330.0
ppo,75,101.72,2,19,150.0,4530.0,1,4,1,1,4,9,7.28456617656507,4530.0
ppo,76,110.52000000000001,3,33,270.0,8730.0,3,17,1,1,2,9,7.279344457568544,8730.0
ppo,77,102.67,6,13,480.0,2580.0,1,3,1,1,3,9,7.280139409578764,2580.0
ppo,78,103.22,3,34,270.0,9030.0,1,10,1,1,3,9,7.274612679201014,9030.0
ppo,79,103.12,3,11,270.0,2130.0,2,3,1,1,2,9,7.298214435577393,2130.0
ppo,80,106.47,6,17,480.0,3780.0,2,8,1,1,4,9,7.280479262856876,3780.0
ppo,81,102.82000000000001,2,32,150.0,8430.0,4,9,1,1,3,9,7.274185508489609,8430.0
ppo,82,103.39,13,18,1860.0,3360.0,1,4,1,1,2,11,7.2954690721299915,3360.0
ppo,83,104.79,13,20,1860.0,3960.0,2,6,1,1,2,11,7.292074990272522,3960.0
ppo,84,103.07000000000001,7,25,780.0,6180.0,1,7,1,1,2,9,7.270184726715088,6180.0
ppo,85,101.22,3,24,270.0,6030.0,1,5,1,1,2,9,7.275809506575267,6030.0
ppo,86,106.52000000000001,3,33,270.0,8730.0,3,13,1,1,2,9,7.275609608852502,8730.0
ppo,87,104.77000000000001,6,36,480.0,9480.0,2,12,1,1,2,9,7.268162118064033,9480.0
ppo,88,102.72,1,19,30.0,4530.0,2,5,1,1,3,9,7.289184545215807,4530.0
ppo,89,101.35,8,40,900.0,4650.0,1,4,1,1,2,8,7.359262216091156,4650.0
ppo,90,108.57000000000001,6,20,480.0,4680.0,4,11,1,1,2,9,7.270180821418762,4680.0
ppo,91,99.59,10,24,960.0,5160.0,1,2,1,1,2,11,7.285184462865193,5160.0
ppo,92,103.42,2,20,150.0,4830.0,1,6,1,1,2,9,7.279663634300232,4830.0
ppo,93,104.59,17,34,3060.0,8160.0,2,10,1,1,1,11,7.276905873242547,8160.0
ppo,94,103.64,11,13,1260.0,1860.0,2,3,1,1,1,10,7.315746490771954,1860.0
ppo,95,108.82,1,22,30.0,5430.0,3,12,1,1,2,9,7.282972942699086,5430.0
ppo,96,100.79,13,30,1860.0,6960.0,1,5,1,1,2,11,7.282239516576131,6960.0
ppo,97,103.52000000000001,3,13,270.0,2730.0,1,4,1,1,2,9,7.290472030639648,2730.0
ppo,98,100.85,65,8,900.0,900.0,0,0,1,1,0,7,7.295225620269775,900.0
ppo,99,110.99000000000001,14,36,2160.0,8760.0,4,17,1,1,1,11,7.280059417088826,8760.0
