agent,episode,action_id,count,pattern,region,concurrency,access_pattern,block_size,duration_s,memory_mb,copy_threads,cpu_threads,warm_copy,max_errors,stress_score
random,0,138,1,walking_1_0,3,high,random,page_4KB,120,4096,16,8,True,10,8.690219999999998
random,0,1552,1,solid,3,low,random,page_4KB,30,256,4,0,True,10,1.1781000000000001
random,0,1964,1,inversion,6,medium,rowhammer_like,page_4KB,30,1024,8,4,True,1,4.221719040000001
random,0,1808,2,inversion,2,low,rowhammer_like,page_4KB,30,256,4,0,True,1,1.9418080000000002
random,0,1882,1,inversion,4,low,rowhammer_like,page_4KB,120,1024,4,0,True,1,3.4267200000000004
random,0,1913,1,inversion,5,low,random,page_4KB,60,1024,4,0,True,10,1.86912
random,0,219,1,walking_1_0,6,low,sequential,page_4KB,300,1024,4,0,False,-1,2.09
random,0,1365,1,butterfly,5,high,rowhammer_like,page_4KB,60,4096,16,8,True,1,12.0504384
random,0,707,1,random,3,medium,rowhammer_like,page_4KB,300,4096,8,4,True,1,8.586547200000002
random,0,1924,1,inversion,5,medium,random,page_4KB,30,1024,8,4,True,10,2.8784448
random,0,1269,1,butterfly,3,low,rowhammer_like,page_4KB,60,1024,4,0,True,1,3.02016
random,0,1668,1,solid,6,medium,sequential,page_4KB,30,1024,8,4,True,-1,2.027718
random,0,1056,1,march,5,medium,sequential,page_4KB,30,1024,8,4,True,-1,2.220834
random,0,1486,1,solid,1,low,rowhammer_like,page_4KB,120,1024,4,0,True,1,3.049200000000001
random,0,962,1,march,2,high,sequential,page_4KB,120,4096,16,8,True,-1,7.192473749999998
random,0,1786,1,inversion,1,medium,rowhammer_like,page_4KB,120,4096,8,4,True,1,7.599094272000001
random,0,1005,1,march,3,high,rowhammer_like,page_4KB,60,4096,16,8,True,1,10.660003199999998
random,0,1142,1,march,7,high,sequential,page_4KB,120,4096,16,8,True,-1,7.192473749999998
random,0,1647,1,solid,5,high,sequential,page_4KB,300,0,16,8,True,-1,10.215397499999998
random,0,568,1,checkerboard,7,high,random,page_4KB,30,4096,16,8,True,10,6.320159999999999
random,0,1971,1,inversion,6,high,sequential,page_4KB,300,0,16,8,True,-1,11.480160999999999
random,0,340,1,checkerboard,1,medium,random,page_4KB,30,1024,8,4,True,10,2.9272320000000005
random,0,671,1,random,2,medium,rowhammer_like,page_4KB,300,4096,8,4,True,1,8.586547200000002
random,0,1384,1,butterfly,6,medium,random,page_4KB,30,1024,8,4,True,10,3.1711679999999998
random,0,1170,1,butterfly,0,medium,random,page_4KB,120,4096,8,4,True,10,5.7081024
random,0,428,1,checkerboard,3,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,9.269568
random,0,506,1,checkerboard,6,low,sequential,page_4KB,120,1024,4,0,False,-1,1.7099999999999997
random,0,1098,1,march,6,medium,random,page_4KB,120,4096,8,4,True,10,5.049475199999999
random,0,262,1,walking_1_0,7,low,rowhammer_like,page_4KB,120,1024,4,0,True,1,3.1944000000000012
random,0,241,1,walking_1_0,6,high,sequential,page_4KB,60,4096,16,8,True,-1,5.503805999999999
random,0,732,1,random,4,medium,sequential,page_4KB,30,1024,8,4,True,-1,1.9311600000000002
random,0,589,1,random,0,medium,sequential,page_4KB,60,1024,8,4,True,-1,2.317392
random,0,1785,1,inversion,1,medium,rowhammer_like,page_4KB,60,1024,8,4,True,1,5.0660628480000005
random,0,1311,1,butterfly,4,medium,sequential,page_4KB,300,4096,8,4,True,-1,6.0252191999999996
random,0,882,1,march,0,medium,random,page_4KB,120,4096,8,4,True,10,5.049475199999999
random,0,565,1,checkerboard,7,high,sequential,page_4KB,60,4096,16,8,True,-1,6.004151999999999
random,0,1612,1,solid,4,high,random,page_4KB,30,4096,16,8,True,10,5.5301399999999985
random,0,809,1,random,6,medium,random,page_4KB,60,1024,8,4,True,10,2.9272320000000005
random,0,1047,1,march,5,low,sequential,page_4KB,300,1024,4,0,False,-1,2.1849999999999996
random,0,1458,1,solid,0,medium,random,page_4KB,120,4096,8,4,True,10,4.6103904
random,0,1064,1,march,5,medium,rowhammer_like,page_4KB,30,1024,8,4,True,1,4.114387200000001
random,0,1455,1,solid,0,medium,sequential,page_4KB,300,4096,8,4,True,-1,4.8665232000000005
random,0,1107,1,march,6,high,sequential,page_4KB,300,0,16,8,True,-1,11.188292499999998
random,0,1378,1,butterfly,6,low,rowhammer_like,page_4KB,120,1024,4,0,True,1,3.7752000000000008
random,0,364,1,checkerboard,2,low,random,page_4KB,30,256,4,0,True,10,1.3464
random,0,983,1,march,3,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,4.452800000000001
random,0,1234,1,butterfly,2,low,rowhammer_like,page_4KB,120,1024,4,0,True,1,3.7752000000000008
random,0,580,1,random,0,low,random,page_4KB,30,256,4,0,True,10,1.122
random,0,637,1,random,1,high,sequential,page_4KB,60,4096,16,8,True,-1,5.00346
random,0,968,1,march,2,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,8.883336
random,0,1970,1,inversion,6,high,sequential,page_4KB,120,4096,16,8,True,-1,7.380103499999999
random,0,1272,1,butterfly,3,medium,sequential,page_4KB,30,1024,8,4,True,-1,2.510508
random,0,1414,1,butterfly,7,low,rowhammer_like,page_4KB,120,1024,4,0,True,1,3.7752000000000008
random,0,511,1,checkerboard,6,low,random,page_4KB,300,1024,4,0,True,10,3.168
random,0,1219,2,butterfly,1,high,random,page_4KB,300,0,16,8,True,10,15.975959999999997
random,0,1508,1,solid,1,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,8.110872
random,0,659,1,random,2,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,3.8720000000000008
random,0,1172,1,butterfly,0,medium,rowhammer_like,page_4KB,30,1024,8,4,True,1,4.651046400000001
random,0,1078,1,march,5,high,rowhammer_like,page_4KB,120,4096,16,8,True,1,13.325004
random,0,1879,1,inversion,4,low,random,page_4KB,300,1024,4,0,True,10,3.1152
random,0,1601,1,solid,4,medium,random,page_4KB,60,1024,8,4,True,10,3.0735936
random,0,348,1,checkerboard,1,high,sequential,page_4KB,30,4096,16,8,True,-1,5.00346
random,1,774,1,random,5,medium,random,page_4KB,120,4096,8,4,True,10,4.390848000000001
random,1,798,1,random,6,low,random,page_4KB,120,1024,4,0,True,10,1.98
random,1,1688,1,solid,6,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,8.110872
random,1,1664,1,solid,6,low,rowhammer_like,page_4KB,30,256,4,0,True,1,1.7278800000000003
random,1,1200,1,butterfly,1,medium,sequential,page_4KB,30,1024,8,4,True,-1,2.510508
random,1,1343,1,butterfly,5,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,5.033600000000001
random,1,819,1,random,6,high,sequential,page_4KB,300,0,16,8,True,-1,9.72895
random,1,1426,1,butterfly,7,medium,rowhammer_like,page_4KB,120,4096,8,4,True,1,8.37188352
